kind	class	method	param	index	uri	field
METHOD	com.netflix.zuul.netty.connectionpool.PooledConnection	setInUse()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/PooledConnection.java	connectionState
METHOD	com.netflix.zuul.netty.connectionpool.PooledConnection	setConnectionState(com.netflix.zuul.netty.connectionpool.PooledConnection.ConnectionState)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/PooledConnection.java	connectionState
METHOD	com.netflix.zuul.niws.RequestAttempt	setError(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	error
METHOD	com.netflix.zuul.niws.RequestAttempt	setExceptionType(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	exceptionType
METHOD	com.netflix.zuul.niws.RequestAttempt	setApp(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	app
METHOD	com.netflix.zuul.niws.RequestAttempt	setAsg(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	asg
METHOD	com.netflix.zuul.niws.RequestAttempt	setInstanceId(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	instanceId
METHOD	com.netflix.zuul.niws.RequestAttempt	setHost(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	host
METHOD	com.netflix.zuul.niws.RequestAttempt	setVip(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	vip
METHOD	com.netflix.zuul.niws.RequestAttempt	setRegion(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	region
METHOD	com.netflix.zuul.niws.RequestAttempt	setAvailabilityZone(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java	availabilityZone
METHOD	com.netflix.zuul.message.ZuulMessageImpl	setHeaders(com.netflix.zuul.message.Headers)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/ZuulMessageImpl.java	headers
METHOD	com.netflix.zuul.message.http.HttpResponseMessageImpl	storeInboundResponse()	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpResponseMessageImpl.java	inboundResponse
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setProtocol(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	protocol
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setMethod(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	method
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setPath(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	path
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setPath(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	decodedPath
METHOD	com.netflix.zuul.message.http.HttpRequestMessageImpl	setClientIp(java.lang.String)	null	null	/home/nima/Desktop/docker/benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessageImpl.java	clientIp
