CLASS	METHOD	PARAMETER	INDEX
com.netflix.netty.common.Http2ConnectionExpiryHandler	isResponseHeaders(java.lang.Object)	msg	0
com.netflix.netty.common.AbstrHttpConnectionExpiryHandler	AbstrHttpConnectionExpiryHandler(com.netflix.netty.common.ConnectionCloseType,int,int,int)	maxExpiry	3
com.netflix.netty.common.AbstrHttpConnectionExpiryHandler	AbstrHttpConnectionExpiryHandler(com.netflix.netty.common.ConnectionCloseType,int,int,int)	connectionCloseType	0
com.netflix.netty.common.AbstrHttpConnectionExpiryHandler	AbstrHttpConnectionExpiryHandler(com.netflix.netty.common.ConnectionCloseType,int,int,int)	maxRequestsUnderBrownout	1
com.netflix.netty.common.AbstrHttpConnectionExpiryHandler	AbstrHttpConnectionExpiryHandler(com.netflix.netty.common.ConnectionCloseType,int,int,int)	maxRequests	2
com.netflix.netty.common.AbstrHttpConnectionExpiryHandler	write(io.netty.channel.ChannelHandlerContext,java.lang.Object,io.netty.channel.ChannelPromise)	ctx	0
com.netflix.netty.common.AbstrHttpConnectionExpiryHandler	write(io.netty.channel.ChannelHandlerContext,java.lang.Object,io.netty.channel.ChannelPromise)	msg	1
com.netflix.netty.common.AbstrHttpConnectionExpiryHandler	write(io.netty.channel.ChannelHandlerContext,java.lang.Object,io.netty.channel.ChannelPromise)	promise	2
com.netflix.netty.common.ConnectionCloseType	fromChannel(io.netty.channel.Channel)	ch	0
com.netflix.netty.common.ConnectionCloseType	setForChannel(io.netty.channel.Channel,com.netflix.netty.common.ConnectionCloseType)	type	1
com.netflix.netty.common.ConnectionCloseType	setForChannel(io.netty.channel.Channel,com.netflix.netty.common.ConnectionCloseType)	ch	0
com.netflix.netty.common.proxyprotocol.ElbProxyProtocolChannelHandler	ElbProxyProtocolChannelHandler(com.netflix.spectator.api.Registry,boolean)	registry	0
com.netflix.netty.common.proxyprotocol.ElbProxyProtocolChannelHandler	ElbProxyProtocolChannelHandler(com.netflix.spectator.api.Registry,boolean)	withProxyProtocol	1
com.netflix.netty.common.proxyprotocol.ElbProxyProtocolChannelHandler	addProxyProtocol(io.netty.channel.ChannelPipeline)	pipeline	0
com.netflix.netty.common.proxyprotocol.ElbProxyProtocolChannelHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	ctx	0
com.netflix.netty.common.proxyprotocol.ElbProxyProtocolChannelHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	msg	1
com.netflix.netty.common.proxyprotocol.ElbProxyProtocolChannelHandler	isHAPMDetected(java.lang.Object)	msg	0
com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler	StripUntrustedProxyHeadersHandler(com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler.AllowWhen)	allowWhen	0
com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	msg	1
com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	ctx	0
com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler	connectionIsUsingMutualSSLWithAuthEnforced(io.netty.channel.Channel)	ch	0
com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler	stripXFFHeaders(io.netty.handler.codec.http.HttpRequest)	req	0
com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler	checkBlacklist(io.netty.handler.codec.http.HttpRequest,java.util.List)	req	0
com.netflix.netty.common.proxyprotocol.StripUntrustedProxyHeadersHandler	checkBlacklist(io.netty.handler.codec.http.HttpRequest,java.util.List)	blacklist	1
com.netflix.netty.common.proxyprotocol.HAProxyMessageChannelHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	msg	1
com.netflix.netty.common.proxyprotocol.HAProxyMessageChannelHandler	channelRead(io.netty.channel.ChannelHandlerContext,java.lang.Object)	ctx	0
com.netflix.zuul.Attrs	newKey(java.lang.String)	keyName	0
com.netflix.zuul.Attrs$Key	get(com.netflix.zuul.Attrs)	attrs	0
com.netflix.zuul.Attrs$Key	getOrDefault(com.netflix.zuul.Attrs,T)	attrs	0
com.netflix.zuul.Attrs$Key	getOrDefault(com.netflix.zuul.Attrs,T)	defaultValue	1
com.netflix.zuul.Attrs$Key	put(com.netflix.zuul.Attrs,T)	value	1
com.netflix.zuul.Attrs$Key	put(com.netflix.zuul.Attrs,T)	attrs	0
com.netflix.zuul.Attrs$Key	Key(java.lang.String)	name	0
com.netflix.zuul.Attrs	forEach(java.util.function.BiConsumer)	consumer	0
com.netflix.zuul.Attrs	equals(java.lang.Object)	other	0
com.netflix.netty.common.CloseOnIdleStateHandler	CloseOnIdleStateHandler(com.netflix.spectator.api.Registry,java.lang.String)	registry	0
com.netflix.netty.common.CloseOnIdleStateHandler	userEventTriggered(io.netty.channel.ChannelHandlerContext,java.lang.Object)	ctx	0
com.netflix.netty.common.CloseOnIdleStateHandler	userEventTriggered(io.netty.channel.ChannelHandlerContext,java.lang.Object)	evt	1
com.netflix.netty.common.LeastConnsEventLoopChooserFactory	LeastConnsEventLoopChooserFactory(com.netflix.netty.common.metrics.EventLoopGroupMetrics)	groupMetrics	0
com.netflix.netty.common.LeastConnsEventLoopChooserFactory	newChooser(io.netty.util.concurrent.EventExecutor[])	executors	0
com.netflix.netty.common.LeastConnsEventLoopChooserFactory$LeastConnsEventExecutorChooser	LeastConnsEventExecutorChooser(io.netty.util.concurrent.EventExecutor[],com.netflix.netty.common.metrics.EventLoopGroupMetrics)	groupMetrics	1
com.netflix.netty.common.LeastConnsEventLoopChooserFactory$LeastConnsEventExecutorChooser	LeastConnsEventExecutorChooser(io.netty.util.concurrent.EventExecutor[],com.netflix.netty.common.metrics.EventLoopGroupMetrics)	executors	0
com.netflix.netty.common.metrics.EventLoopGroupMetrics	EventLoopGroupMetrics(com.netflix.spectator.api.Registry)	registry	0
com.netflix.netty.common.metrics.EventLoopMetrics	EventLoopMetrics(com.netflix.spectator.api.Registry,java.lang.String)	eventLoopName	1
com.netflix.netty.common.metrics.EventLoopMetrics	EventLoopMetrics(com.netflix.spectator.api.Registry,java.lang.String)	registry	0
com.netflix.netty.common.ByteBufUtil	touch(io.netty.util.ReferenceCounted,java.lang.String,com.netflix.zuul.message.ZuulMessage)	byteBuf	0
